# Id	IsActive	ProductId	PartNumber	Description	Price	PartLoc	AvailQty	PkgQty	PkgPrice	DSort	CategoryCD	ProdCode
005dfa5d-2558-48c1-8cde-9e00c7ac078a	1	d7156369-5614-42a0-a1d2-137a390791cc	CB6014CR5-1P	3/16-24 nutplate	10.65	Bin:	00000000000	1	0.00	0.3125CR5-1P	nutplates	CB6014
0060f3c8-7be9-4f00-ae6f-637bb1d10088	1	2e53a695-df31-41cd-8d42-aa942fb88fba	CB6011CR6-1	Nutplate	19.90	Bin:	00000000000	1	0.00	0.3750CR6-1	nutplates	CB6011
006418fc-d5d2-4993-9a05-140866aa519d	1	43b8db6f-afa1-4388-acb9-a5f67e316628	CB3000CRA3-32	Stud	13.84	Bin:	00000000000	25	0.00	0.1900CRA3-32	studsandstands	CB3000
008284b9-a592-4946-9348-2481b85c5f02	1	a90c6577-dc19-4954-b2e1-342ea3a116c2	CB5006CR3-150	Sleeve, Insert	6.00	Bin:	00000000000	1	0.00	CB506CR3-150CB506CR3-150	bushings	CB5006
010fa24f-dcac-42c4-bbcc-09f572c19019	1	5596bab3-1b84-4290-ad65-0ffda0b8233c	CB3005CR4-10	Bushing, Threaded	8.76	Bin:	00000000000	1	0.00	0.2500CR4-10	bushings	CB3005
0333c43a-0365-4b82-a637-303d666615c5	1	0adbd8b8-c345-4a43-a8d1-05e18eb3e5b2	CS125-1032-20GCR	Stud	9.12	Bin:	00000000000	1	0.00	0.1900-1032-20GCR	studsandstands	CS125
03494328-3017-4228-8609-1d212b37dcdc	1	208e6c7c-fdcc-43b7-82a1-f89e1a32d27f	CB6007CR3-1	Nutplate	7.50	Bin:	00000000000	1	0.00	0.1900CR3-1	nutplates	CB6007
03cb5018-a380-470b-a2da-f2b4dad9c1c8	1	c2570547-55b3-40e2-806e-1d1418a6bbcc	CB3019A3N	Cable tie mount	3.05	Bin:	00000000000	25	0.00	0.1900A3N	mounts	CB3019
0473746e-ecfb-4ef5-9ae5-f46a626933c9	1	2e53a695-df31-41cd-8d42-aa942fb88fba	CB6011CR5M-1P	Nutplate/Metric	4.50	Bin:	00000000000	1	0.00	0.3125CR5M-1P	nutplates	CB6011
04855e46-61b9-4624-93e4-9b962e1e87ca	1	e8be1b0e-1d78-4572-a6b0-e70adb0ee43c	CP125-625-005-A2A1	Aluminum/anodized large hat patch	12.17	Bin:	00000000000	25	0.00	CP125-625-005-A2A1-005-A2	clickpatch	CP125-625
04d89540-aad6-4132-83d4-7f32a7241803	1	fe6327e5-b4b6-4871-a0da-e8d1ae2f6192	CP62-000-005-A1A1	Very small flat patch 	9.66	Bin:	00000000000	1	0.00	CP62-000-005-A1A1CP62-000	clickpatch	CP62
04e6abbf-7bc1-480a-ba5b-cd7206a86831	1	ff00dfb7-aa33-4000-ab12-d6c3e7bc3009	CB4064V3-24P	cable tie standoff	5.67	Bin:	00000000000	1	0.00	0.1900V3-24P	mounts	CB4064
